Attrition,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,AgeEducation,AgeMoneyly,IntoAge,Satisfaction
0,33,9,3,1,3,4,2781,0,13,3,2,1,15,5,3,14,10,4,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,9.090909090909092,252,18,7
0,38,3,3,1,3,3,10609,0,12,3,3,2,17,6,2,16,10,5,13,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7.894736842105263,837,21,7
0,27,5,2,4,3,4,2379,0,14,3,3,0,6,3,2,5,4,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,7.407407407407407,264,21,11
1,19,1,1,3,1,1,2325,0,21,4,1,0,1,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5.2631578947368425,122,18,5
0,54,17,3,3,3,3,10739,8,11,3,3,1,22,2,3,10,7,0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5.555555555555555,596,32,9
0,53,23,4,4,3,4,14275,6,18,3,3,0,33,0,3,12,9,3,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,7.547169811320755,808,20,11
0,33,8,1,2,2,4,2342,0,19,3,4,0,3,2,2,2,2,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,3.0303030303030303,141,30,10
0,29,2,3,1,2,2,6644,2,19,3,2,2,10,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,10.344827586206897,458,19,5
1,33,3,3,1,3,1,3348,1,11,3,1,0,10,3,3,10,8,9,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,9.090909090909092,304,23,3
0,42,29,3,2,3,2,4434,1,13,3,4,1,10,3,2,9,8,7,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7.142857142857143,316,32,8
0,34,10,4,4,2,3,5063,1,14,3,2,1,8,3,2,8,2,7,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,11.764705882352942,297,26,9
0,42,5,2,4,3,3,18303,6,13,3,2,0,21,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4.761904761904762,1307,21,9
0,26,1,3,3,3,3,5296,1,17,3,2,1,8,3,3,8,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.538461538461538,611,18,8
0,55,1,4,2,4,4,14732,2,13,3,4,2,31,4,4,7,7,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,7.2727272727272725,1071,24,10
1,50,1,4,2,3,3,6728,7,12,3,4,2,12,3,3,6,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,8.0,403,38,9
0,37,7,4,4,3,1,4284,5,22,4,3,1,16,2,3,5,3,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.81081081081081,347,21,8
0,45,26,3,1,2,1,4385,1,15,3,1,1,10,2,3,10,7,4,5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6.666666666666667,194,35,3
0,43,15,3,4,2,4,6804,3,18,3,3,1,7,5,3,2,2,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,6.976744186046512,316,36,11
1,39,5,3,4,3,4,2086,3,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,7.6923076923076925,160,20,11
0,38,2,2,4,3,2,7351,7,16,3,3,0,10,2,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5.2631578947368425,580,28,9
0,31,1,4,3,3,2,2501,1,17,3,2,0,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,12.903225806451612,242,30,7
0,51,1,3,3,3,4,2723,1,11,3,2,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5.882352941176471,160,50,9
0,36,1,3,3,1,1,10252,2,21,4,3,1,17,2,3,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8.333333333333334,284,19,7
0,39,6,1,4,2,1,9991,4,15,3,1,1,9,5,3,7,7,1,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5641025641025643,512,30,6
0,32,24,4,1,3,4,5309,1,15,3,4,2,10,2,3,10,8,4,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,12.5,497,22,9
0,27,8,3,2,4,3,3517,7,17,3,1,0,5,0,3,3,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11.11111111111111,521,22,6
0,39,9,3,4,3,4,19431,2,13,3,3,0,21,3,2,6,0,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7.6923076923076925,1494,18,11
0,34,7,4,1,3,4,2972,1,13,3,3,0,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,11.764705882352942,262,33,8
0,34,27,2,4,3,2,2311,2,15,3,4,0,9,3,3,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,5.882352941176471,203,25,10
0,43,16,3,4,3,4,16064,5,22,4,3,1,22,3,3,17,13,1,9,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,6.976744186046512,1120,21,11
0,31,2,4,2,3,3,3477,1,14,3,4,1,6,2,4,5,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,12.903225806451612,336,25,9
1,31,6,4,2,1,3,6172,4,18,3,2,0,12,3,2,7,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,12.903225806451612,199,19,7
0,38,1,4,2,4,4,7625,0,13,3,3,0,10,4,2,9,7,1,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10.526315789473685,802,28,9
0,36,1,5,4,3,4,6653,4,15,3,2,0,7,6,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,13.88888888888889,554,29,10
0,42,24,3,4,3,1,7406,1,21,4,4,1,10,5,2,10,9,5,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7.142857142857143,529,32,9
0,43,26,2,3,3,4,16959,1,12,3,4,2,25,3,4,25,12,4,12,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,4.651162790697675,1183,18,11
0,36,3,4,1,2,4,9699,4,11,3,1,1,16,2,3,13,9,1,12,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,11.11111111111111,538,20,6
1,51,4,4,1,3,3,2461,9,12,3,3,3,18,2,4,10,0,2,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.8431372549019605,144,33,7
0,51,2,3,2,3,2,10596,2,11,3,2,0,14,5,3,4,2,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5.882352941176471,623,37,6
0,33,6,3,3,3,4,7725,3,23,4,3,1,15,2,1,13,11,4,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,9.090909090909092,702,18,10
0,25,2,3,3,3,2,2187,4,14,3,3,0,6,3,3,2,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,12.0,262,19,8
0,33,10,3,2,2,4,4682,3,14,3,3,0,9,6,2,7,7,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,9.090909090909092,283,24,9
0,42,13,3,2,4,1,5538,5,18,3,3,2,10,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7.142857142857143,527,32,6
0,20,2,3,3,3,3,2783,1,19,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,15.0,417,18,7
0,42,2,1,3,3,3,2696,0,11,3,3,1,4,5,3,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2.380952380952381,192,38,9
0,41,3,3,3,2,2,8938,2,11,3,3,1,14,5,3,5,4,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,7.317073170731708,436,27,8
0,27,5,1,3,2,4,12808,1,16,3,2,1,9,3,3,9,8,0,8,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,3.7037037037037037,948,18,9
0,30,1,1,4,2,4,5126,1,12,3,3,2,10,1,2,10,8,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3.3333333333333335,341,20,11
0,30,5,4,2,2,4,3761,9,12,3,2,1,10,3,2,5,4,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,13.333333333333334,250,20,8
1,37,2,2,4,2,3,2090,6,15,3,2,0,7,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5.405405405405405,112,30,9
0,24,21,2,3,2,1,2296,0,14,3,2,3,2,3,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,8.333333333333334,191,22,6
0,38,29,3,4,3,4,6261,3,18,3,1,1,9,3,1,7,7,1,7,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7.894736842105263,494,29,9
0,56,8,4,4,3,2,19717,6,14,3,1,0,36,4,3,7,3,7,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,7.142857142857143,1056,20,7
0,32,4,3,3,2,3,6162,1,12,3,3,1,14,3,3,14,13,6,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,9.375,385,18,9
0,30,2,1,3,3,2,2476,1,18,3,1,1,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3.3333333333333335,247,29,6
0,38,9,2,3,3,4,2288,1,12,3,3,0,2,3,3,2,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5.2631578947368425,180,36,10
0,25,18,1,1,4,3,6232,2,11,3,2,0,6,3,2,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4.0,997,19,6
0,39,1,3,4,3,4,6472,1,15,3,4,1,9,2,3,9,8,5,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,7.6923076923076925,497,30,12
0,59,25,3,1,3,1,7637,7,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,5.084745762711864,388,31,6
0,30,8,2,3,3,3,7264,5,11,3,1,1,10,2,4,8,4,7,7,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,6.666666666666667,726,20,7
0,56,6,3,3,4,1,13212,9,11,3,4,3,36,0,2,7,7,7,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5.357142857142857,943,20,8
0,28,5,4,1,3,4,4908,1,14,3,2,0,4,3,3,4,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,14.285714285714286,525,24,7
0,38,6,4,1,2,3,5321,2,11,3,4,1,10,1,3,8,3,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,10.526315789473685,280,28,8
0,28,9,4,2,3,4,5253,1,16,3,4,0,7,1,3,7,5,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,14.285714285714286,562,21,10
1,19,2,3,2,2,4,1102,1,22,4,3,0,1,3,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,15.789473684210526,116,18,9
0,34,7,4,1,3,2,11994,0,11,3,3,0,13,4,3,12,6,2,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,11.764705882352942,1058,21,6
0,51,7,4,2,2,3,6132,2,17,3,3,0,10,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,7.8431372549019605,240,41,8
0,32,10,3,1,3,3,3433,6,13,3,1,1,10,3,2,5,2,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,9.375,321,22,5
0,35,1,4,3,1,4,2977,1,12,3,4,1,4,5,3,4,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11.428571428571429,85,31,11
0,59,2,4,3,2,4,18844,9,21,4,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,6.779661016949152,638,29,11
0,30,10,3,1,3,3,9667,9,14,3,2,0,9,3,3,7,7,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,10.0,966,21,6
0,29,4,3,4,2,1,2109,1,13,3,3,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10.344827586206897,145,28,8
0,52,4,2,4,3,4,16555,2,13,3,4,0,31,2,1,5,2,1,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,3.8461538461538463,955,21,12
0,36,3,2,4,3,2,2088,4,12,3,3,0,13,3,2,8,7,7,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,5.555555555555555,174,23,9
0,29,13,2,4,2,2,4025,4,13,3,1,1,10,2,3,4,3,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6.896551724137931,277,19,7
0,35,18,5,2,4,1,5208,1,11,3,4,0,16,2,3,16,15,1,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,14.285714285714286,595,19,7
1,25,24,1,3,1,4,1118,1,14,3,4,0,1,4,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4.0,44,24,11
0,54,19,4,4,3,1,5485,9,11,3,2,2,9,4,3,5,3,1,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,7.407407407407407,304,45,7
0,32,7,3,4,2,3,5484,1,14,3,3,1,13,3,2,13,8,4,8,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,9.375,342,19,10
0,52,2,4,1,2,3,19068,1,18,3,4,0,33,2,4,33,7,15,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,7.6923076923076925,733,19,8
0,31,9,1,3,3,2,10648,1,25,4,4,1,13,6,4,13,8,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3.225806451612903,1030,18,9
1,19,10,3,1,2,2,1859,1,25,4,2,0,1,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,15.789473684210526,195,18,5
0,35,8,4,1,3,4,2572,1,16,3,2,1,3,1,2,3,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,11.428571428571429,220,32,7
0,27,15,3,4,2,1,4774,0,19,3,4,1,8,2,2,7,6,7,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,11.11111111111111,353,19,9
1,26,24,3,3,1,4,2340,1,18,3,2,0,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,11.538461538461538,90,25,9
0,28,15,2,1,3,3,2207,1,16,3,4,1,4,5,2,4,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7.142857142857143,236,24,8
1,56,24,2,1,3,4,2587,1,16,3,4,0,5,3,3,4,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,3.5714285714285716,138,51,9
